rating,review_length_bucket_order,review_length_bucket,review_count,avg_helpful_votes,median_helpful_votes,avg_review_length
1,1,0-99 chars,85979,0.677,0,49.3
1,2,100-299 chars,111755,1.71,0,179.4
1,3,300-699 chars,64896,3.677,0,456.0
1,4,700-1499 chars,28243,6.324,3,986.1
1,5,1500+ chars,11361,15.174,5,2689.1
2,1,0-99 chars,26201,0.208,0,52.3
2,2,100-299 chars,44497,0.637,0,183.6
2,3,300-699 chars,33509,1.789,0,465.4
2,4,700-1499 chars,20403,3.828,0,1009.2
2,5,1500+ chars,12352,9.212,3,2883.7
3,1,0-99 chars,45581,0.107,0,48.0
3,2,100-299 chars,67725,0.407,0,180.4
3,3,300-699 chars,44911,1.376,0,463.0
3,4,700-1499 chars,27226,3.141,0,1014.4
3,5,1500+ chars,20197,8.589,2,3035.9
4,1,0-99 chars,98995,0.065,0,42.9
4,2,100-299 chars,131464,0.343,0,177.9
4,3,300-699 chars,81704,1.177,0,462.5
4,4,700-1499 chars,49170,2.809,0,1015.2
4,5,1500+ chars,36634,8.169,2,3030.9
5,1,0-99 chars,644003,0.086,0,36.8
5,2,100-299 chars,458919,0.421,0,170.5
5,3,300-699 chars,197828,1.494,0,454.3
5,4,700-1499 chars,93502,3.621,0,999.7
5,5,1500+ chars,53038,10.497,2,2901.4
